Name,Nationality,Years,Link
"Zeman, Jakub",Czech, active 21st century,https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=31402
"Zenatá, Kamila",Czech, born 1953,https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=24890
"Zenone, Vincent",American, active 20th century,https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=3458
"Zepeda, Anthony",No birthplace information,No date information,https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=14971
"Zertahelli, Leonhard",German, active 1809/1852,https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=3459
"Zertahelly, Leonhard",German, active 1809/1852,https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=3459
"Zetter, Paul de",German, c. 1600 - 1667 or after,https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=6335
"Zhitomirsky, Alexander",Russian, 1907 - 1993,https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=21745
"Ziarnko, Jan",Polish, active 1596/1629,https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=3460
"Zick, Januarius",German, 1730 - 1797,https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=36211
"Ziegler, Henry",American, 1889 - 1968,https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=3461
"Ziegler, Johann",Austrian, c. 1750 - c. 1812,https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=3462
"Ziem, Felix",French, 1821 - 1911,https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=28420
"Ziemann, Richard Claude",American, born 1932,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=3463
"Ziesenis, Johann Georg",German, 1716 - 1776,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=21152
"Ziger, Dan",American, active c. 1935,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=8234
"Zille, Heinrich",German, 1858 - 1929,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=16939
"Zilzer, Gyula",American, 1898 - 1969,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=34156
"Zimet, A.",American, active c. 1935,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=8235
"Zimiles, Murray",American, born 1941,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=3464
"Zimmermann, Jacques",Belgian, born 1929,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=3465
"Zimmermann, Joachim",German, born 1875,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=7090
"Zimmermann, Mac",German, born 1912,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=6545
"Zingale, Santos",American, 1908 - 1999,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=34157
"Zingg, Adrian",Swiss, 1734 - 1816,https://web.archive.org/web/20121010201019/http://www.nga.gov/cgi-bin/tsearch?artistid=5624
